,Compound ID,ESOL predicted log solubility in mols per litre,Minimum Degree,Molecular Weight,Number of H-Bond Donors,Number of Rings,Number of Rotatable Bonds,Polar Surface Area,measured log solubility in mols per litre,smiles
14,Tetradecane,-5.45,1,198.39399999999995,0,0,11,0.0,-7.96,CCCCCCCCCCCCCC
15,2-Chloropropane,-1.585,1,78.542,0,0,0,0.0,-1.41,CC(C)Cl
16,2-Methylbutanol,-1.027,1,88.14999999999998,1,0,2,20.23,-0.47,CCC(C)CO
17,Benzonitrile,-2.03,1,103.12399999999997,0,1,0,23.79,-1.0,N#Cc1ccccc1
18,Diazinon,-3.989,1,304.3520000000001,0,1,7,53.47,-3.64,CCOP(=S)(OCC)Oc1cc(C)nc(C(C)C)n1
19,2-Undecanol,-3.096,1,172.312,1,0,8,20.23,-2.94,CCCCCCCCCC(C)O
20,"2,2',3,4,6-PCB",-6.627000000000002,1,326.437,0,2,1,0.0,-7.43,Clc1ccc(-c2c(Cl)ccc(Cl)c2Cl)c(Cl)c1
21,Lenacil,-3.355,1,234.29899999999995,1,3,1,54.86,-4.5939999999999985,O=c1[nH]c2c(c(=O)n1C1CCCCC1)CCC2
22,Phorate,-3.747,1,260.386,0,0,8,18.46,-4.11,CCOP(=S)(OCC)SCSCC
23,Phenacetin,-2.342,1,179.21900000000002,1,1,3,38.33,-2.35,CCOc1ccc(NC(C)=O)cc1
24,Dinitramine,-4.479,1,322.243,1,1,5,115.54000000000002,-5.47,CCN(CC)c1c([N+](=O)[O-])cc(C(F)(F)F)c(N)c1[N+](=O)[O-]
25,1-Heptanol,-1.751,1,116.204,1,0,5,20.23,-1.81,CCCCCCCO
26,Theophylline,-1.452,1,180.167,1,2,0,72.68,-1.39,Cn1c(=O)c2[nH]cnc2n(C)c1=O
27,Butethal,-1.974,1,212.24900000000002,2,1,4,75.27000000000002,-1.661,CCCCC1(CC)C(=O)NC(=O)NC1=O
28,"P,P'-DDE",-6.553,1,318.0300000000001,0,2,2,0.0,-6.9,ClC(Cl)=C(c1ccc(Cl)cc1)c1ccc(Cl)cc1
29,Methyl octanoate,-2.608,1,158.241,0,0,6,26.3,-3.17,CCCCCCCC(=O)OC
30,"1,4-Diethylbenzene ",-3.633,1,134.22199999999998,0,1,2,0.0,-3.75,CCc1ccc(CC)cc1
31,Terbufos,-4.367,1,288.44,0,0,7,18.46,-4.755,CCOP(=S)(OCC)SCSC(C)(C)C
32,Phenmedipham,-4.229,1,300.314,2,2,3,76.66,-4.805,COC(=O)Nc1cccc(OC(=O)Nc2cccc(C)c2)c1
33,"1,1-Dichloroethylene",-1.939,1,96.944,0,0,0,0.0,-1.64,C=C(Cl)Cl
34,1-Methylfluorene,-4.478,1,180.25000000000003,0,3,0,0.0,-5.22,Cc1cccc2c1Cc1ccccc1-2
35,Valeraldehyde,-1.103,1,86.13399999999999,0,0,3,17.07,-0.85,CCCCC=O
36,Diphenylamine,-3.857,2,169.227,1,2,2,12.03,-3.504,c1ccc(Nc2ccccc2)cc1
37,Fenothiocarb,-3.297,1,253.36700000000002,0,1,6,29.540000000000006,-3.927,CN(C)C(=O)SCCCCOc1ccccc1
38,Piperophos,-4.637,1,353.4900000000002,0,1,9,38.77,-4.15,CCCOP(=S)(OCCC)SCC(=O)N1CCCCC1C
39,1-Iodoheptane,-3.904,1,226.101,0,0,5,0.0,-4.81,CCCCCCCI
40,3-Chlorobiphenyl,-4.685,1,188.657,0,2,1,0.0,-4.88,Clc1cccc(-c2ccccc2)c1
41,4-Pentene-1-ol,-0.7909999999999999,1,86.134,1,0,3,20.23,-0.15,C=CCCCO
42,Cyclobutyl-5-spirobarbituric acid,-0.527,1,168.15200000000004,2,2,0,75.27,-1.655,O=C1NC(=O)C2(CCC2)C(=O)N1
43,menthol,-2.782,1,156.269,1,1,1,20.23,-2.53,CC1CCC(C(C)C)C(O)C1
44,Isopropyl formate,-0.684,1,88.10600000000001,0,0,2,26.3,-0.63,CC(C)OC=O
45,2-Heptanol ,-1.6780000000000002,1,116.20399999999998,1,0,4,20.23,-1.55,CCCCCC(C)O
46,p-Bromoacetanilide,-3.012,1,214.062,1,1,1,29.1,-3.083,CC(=O)Nc1ccc(Br)cc1
47,brompyrazone,-3.005,1,266.098,1,2,1,60.91,-3.127,Nc1cnn(-c2ccccc2)c(=O)c1Br
48,nifedipine,-4.248,1,346.33900000000017,1,2,4,107.77,-4.76,COC(=O)C1=C(C)NC(C)=C(C(=O)OC)C1c1ccccc1[N+](=O)[O-]
49,"2,7-dimethylquinoline",-3.342,1,157.216,0,2,0,12.89,-1.94,Cc1ccc2ccc(C)nc2c1
50,1-Octyne ,-2.509,1,110.2,0,0,4,0.0,-3.66,C#CCCCCCC
51,cyclobarbital,-2.421,1,236.27099999999996,2,2,2,75.27000000000002,-2.17,CCC1(C2=CCCCC2)C(=O)NC(=O)NC1=O
52,Chrysene,-5.568,2,228.294,0,4,0,0.0,-8.057,c1ccc2c(c1)ccc1c3ccccc3ccc21
53,Bromacil,-3.419,1,261.119,1,1,2,54.86,-2.523,CCC(C)n1c(=O)[nH]c(C)c(Br)c1=O
54,"2,2',3,3',5,6-PCB",-7.185,1,360.88200000000006,0,2,1,0.0,-8.6,Clc1cccc(-c2c(Cl)c(Cl)cc(Cl)c2Cl)c1Cl
55,2-Methylphenol,-2.281,1,108.14,1,1,0,20.23,-0.62,Cc1ccccc1O
56,"2,2,5-Trimethylhexane",-3.631,1,128.259,0,0,2,0.0,-5.05,CC(C)CCC(C)(C)C
57,"1,4-Dimethylnaphthalene ",-4.147,1,156.22799999999998,0,2,0,0.0,-4.14,Cc1ccc(C)c2ccccc12
58,6-Methylchrysene,-5.931,1,242.321,0,4,0,0.0,-6.57,Cc1cc2c3ccccc3ccc2c2ccccc12
59,2-Pentanone,-0.846,1,86.13399999999999,0,0,2,17.07,-0.19,CCCC(C)=O
60,"2,2',3,3',5,5',6,6'-PCB",-8.304,1,429.77200000000016,0,2,1,0.0,-9.15,Clc1cc(Cl)c(Cl)c(-c2c(Cl)c(Cl)cc(Cl)c2Cl)c1Cl
61,Methyl butyrate,-1.545,1,116.15999999999998,0,0,3,26.3,-0.82,CCCOC(=O)CC
62,Triamcinolone,-2.734,1,394.43900000000014,4,4,2,115.06000000000002,-3.68,CC12C=CC(=O)C=C1CCC1C3CC(O)C(O)(C(=O)CO)C3(C)CC(O)C12F
63,p-Aminophenol,-1.231,1,109.128,2,1,0,46.25,-0.8,Nc1ccc(O)cc1
64,Benznidazole,-2.321,1,260.253,1,2,5,90.06,-2.81,O=C(Cn1ccnc1[N+](=O)[O-])NCc1ccccc1
65,"Atovaquone(0,430mg/ml) - neutral",-6.269,1,366.84400000000016,1,4,2,54.37,-5.931,O=C1C(O)=C(C2CCC(c3ccc(Cl)cc3)CC2)C(=O)c2ccccc21
66,Trietazine,-3.233,1,229.715,1,1,5,53.94000000000001,-4.06,CCNc1nc(Cl)nc(N(CC)CC)n1
67,Pyrazinamide,-0.674,1,123.11499999999998,1,1,1,68.87,-0.667,NC(=O)c1cnccn1
68,Carbromal,-2.198,1,237.097,2,0,3,72.19,-2.68,CCC(Br)(CC)C(=O)NC(N)=O
69,"2,2'-PCB",-4.984,1,223.102,0,2,1,0.0,-5.27,Clc1ccccc1-c1ccccc1Cl
70,nitrofurantoin,-1.243,1,238.159,1,2,3,118.04999999999998,-3.38,O=C1CN(N=Cc2ccc([N+](=O)[O-])o2)C(=O)N1
71,Nitrofen,-5.3610000000000015,1,284.098,0,2,3,52.37,-5.46,O=[N+]([O-])c1ccc(Oc2ccc(Cl)cc2Cl)cc1
72,Camphor,-2.158,1,152.237,0,2,0,17.07,-1.96,CC12CCC(CC1=O)C2(C)C
73,5-Allyl-5-phenylbarbital,-2.36,1,244.25,2,2,3,75.27000000000002,-2.369,C=CCC1(c2ccccc2)C(=O)NC(=O)NC1=O
74,Pentyl propanoate,-1.899,1,130.18699999999998,0,0,4,26.3,-2.25,CCCCC(=O)OCC
75,Isopentyl acetate,-1.817,1,130.18699999999998,0,0,3,26.3,-1.92,CC(=O)OCCC(C)C
76,3-Hexanoyloxymethylphenyltoin,-4.1530000000000005,1,380.444,1,3,8,75.71,-5.886,CCCCCC(=O)OCN1C(=O)NC(c2ccccc2)(c2ccccc2)C1=O
77,"2,3',5-PCB",-5.7620000000000005,1,257.547,0,2,1,0.0,-6.01,Clc1cccc(-c2cc(Cl)ccc2Cl)c1
78,1-Bromopropane,-1.949,1,122.993,0,0,1,0.0,-1.73,CCCBr
79,Propiconazole,-4.603,1,342.2260000000001,0,3,5,49.17,-3.4930000000000003,CCCC1COC(Cn2cncn2)(c2ccc(Cl)cc2Cl)O1
80,Formothion,-2.087,1,257.273,0,0,6,55.84,-1.995,COP(=S)(OC)SCC(=O)N(C)C=O
81,4-methylpteridine,-1.24,1,146.15299999999996,0,2,0,51.56,-0.466,Cc1ncnc2nccnc12
82,Thiourea,0.329,1,76.12400000000002,2,0,0,52.04,0.32,NC(N)=S
83,p-Xylene ,-3.035,1,106.168,0,1,0,0.0,-2.77,Cc1ccc(C)cc1
84,"1,2-Diethylbenzene",-3.6010000000000004,1,134.22199999999998,0,1,2,0.0,-3.28,CCc1ccccc1CC
85,Hexachloroethane,-4.215,1,236.74,0,0,0,0.0,-3.67,ClC(Cl)(Cl)C(Cl)(Cl)Cl
86,Flucythrinate,-6.877999999999999,1,451.46900000000005,0,3,9,68.55000000000001,-6.876,CC(C)C(C(=O)OC(C#N)c1cccc(Oc2ccccc2)c1)c1ccc(OC(F)F)cc1
87,1-Nitropropane,-0.816,1,89.09399999999998,0,0,2,43.14,-0.8,CCC[N+](=O)[O-]
88,Menthone,-2.516,1,154.253,0,1,1,17.07,-2.35,CC1CCC(C(C)C)C(=O)C1
89,RTI 24,-4.423,1,273.723,1,3,1,45.23,-5.36,CCN1c2cc(Cl)ccc2NC(=O)c2cccnc21
90,"2,3-Dichloronitrobenzene",-3.322,1,192.00100000000003,0,1,1,43.14,-3.48,O=[N+]([O-])c1cccc(Cl)c1Cl
91,thiamylal,-3.063,1,254.355,2,1,5,58.2,-3.46,C=CCC1(C(C)CCC)C(=O)NC(=S)NC1=O
92,Fluoranthene,-4.957,2,202.256,0,4,0,0.0,-6.0,c1ccc2c(c1)-c1cccc3cccc-2c13
93,Propylisopropylether,-1.354,1,102.17699999999998,0,0,3,9.23,-1.34,CCCOC(C)C
94,"1,3-Dimethylnaphthalene",-4.147,1,156.22799999999995,0,2,0,0.0,-4.29,Cc1cc(C)c2ccccc2c1
95,diethylstilbestrol,-5.074,1,268.356,2,2,4,40.46,-4.07,CCC(=C(CC)c1ccc(O)cc1)c1ccc(O)cc1
96,Chlorothalonil,-3.995,1,265.914,0,1,0,47.58,-5.64,N#Cc1c(Cl)c(Cl)c(Cl)c(C#N)c1Cl
97,"2,3',4',5-PCB",-6.312,1,291.992,0,2,1,0.0,-7.25,Clc1ccc(Cl)c(-c2ccc(Cl)c(Cl)c2)c1
98,styrene oxide,-1.826,2,120.15099999999997,0,2,1,12.53,-1.6,c1ccc(C2CO2)cc1
99,Isopropylbenzene ,-3.265,1,120.19499999999996,0,1,1,0.0,-3.27,CC(C)c1ccccc1
100,Deoxycorticosterone,-3.939,1,330.46800000000013,1,4,2,54.37000000000001,-3.45,CC12CCC(=O)C=C1CCC1C2CCC2(C)C(C(=O)CO)CCC12
101,chlorquinox,-4.438,1,267.93,0,2,0,25.78,-5.43,Clc1c(Cl)c(Cl)c2nccnc2c1Cl
102,L-arabinose,0.601,1,150.13,4,1,0,90.15,0.39,OC1COC(O)C(O)C1O
103,Dichloromethane,-1.156,1,84.93299999999998,0,0,0,0.0,-0.63,ClCCl
104,1-Ethylnaphthalene ,-4.1,1,156.22799999999995,0,2,1,0.0,-4.17,CCc1cccc2ccccc12
105,Methyl formate,-0.048,1,60.05200000000001,0,0,1,26.3,0.58,COC=O
106,o-Nitrophenol,-2.318,1,139.11,1,1,1,63.37,-1.74,O=[N+]([O-])c1ccccc1O
107,thymine,-0.78,1,126.115,2,1,0,65.72,-1.506,Cc1c[nH]c(=O)[nH]c1=O
108,2-Methylpropane,-1.891,1,58.124,0,0,0,0.0,-2.55,CC(C)C
109,Inosine,-0.8340000000000001,1,268.22900000000004,4,3,2,133.75,-1.23,OCC1OC(n2cnc3c(O)ncnc32)C(O)C1O
110,Ioxynil,-4.615,1,370.915,1,1,0,44.02,-3.61,N#Cc1cc(I)c(O)c(I)c1
111,Niclosamide,-5.032,1,327.1230000000001,2,2,3,92.47,-4.7,O=C(Nc1ccc([N+](=O)[O-])cc1Cl)c1cc(Cl)ccc1O
112,Pentane,-2.261,1,72.15100000000001,0,0,2,0.0,-3.18,CCCCC
113,Phenol,-1.991,1,94.113,1,1,0,20.23,0.0,Oc1ccccc1
114,2-aminoanthracene,-3.789,1,193.24900000000002,1,3,0,26.02,-5.17,Nc1ccc2cc3ccccc3cc2c1
115,theobromine,-1.05,1,180.167,1,2,0,72.68,-2.523,Cn1cnc2c1c(=O)[nH]c(=O)n2C
116,Isoquinoline,-2.531,2,129.16199999999998,0,2,0,12.89,-1.45,c1ccc2cnccc2c1
117,Anilofos,-5.106,1,367.86,0,1,7,38.77,-4.432,COP(=S)(OC)SCC(=O)N(c1ccc(Cl)cc1)C(C)C
118,Hexylbenzene ,-4.22,1,162.276,0,1,5,0.0,-5.21,CCCCCCc1ccccc1
119,2-Chlorobiphenyl,-4.5280000000000005,1,188.657,0,2,1,0.0,-4.54,Clc1ccccc1-c1ccccc1
120,2-Methyl-1-Pentene,-2.3480000000000003,1,84.16199999999998,0,0,2,0.0,-3.03,C=C(C)CCC
121,"2,3,4-Trimethylpentane",-3.276,1,114.232,0,0,2,0.0,-4.8,CC(C)C(C)C(C)C
122,Pentachlorobenzene,-5.167999999999998,1,250.33900000000003,0,1,0,0.0,-5.65,Clc1cc(Cl)c(Cl)c(Cl)c1Cl
123,m-Nitrophenol,-2.318,1,139.11,1,1,1,63.37,-1.01,O=[N+]([O-])c1cccc(O)c1
124,1-Decene,-3.781,1,140.26999999999998,0,0,7,0.0,-5.51,C=CCCCCCCCC
125,Glyceryl triacetate,-1.285,1,218.205,0,0,5,78.9,-0.6,CC(=O)OCC(COC(C)=O)OC(C)=O
126,dimethirimol,-3.57,1,209.293,1,1,4,49.25000000000001,-2.24,CCCCc1c(C)nc(N(C)C)nc1O
127,Cyfluthrin,-6.84,1,434.29400000000015,0,3,6,59.32000000000001,-7.3370000000000015,CC1(C)C(C=C(Cl)Cl)C1C(=O)OC(C#N)c1ccc(F)c(Oc2ccccc2)c1
128,Pyridine,-1.481,2,79.10199999999998,0,1,0,12.89,0.76,c1ccncc1
129,1-Bromoheptane,-3.366,1,179.101,0,0,5,0.0,-4.43,CCCCCCCBr
130,"3,4-Dimethylpyridine",-2.067,1,107.156,0,1,0,12.89,0.36,Cc1ccncc1C
131,Fludrocortisone,-3.172,1,380.4560000000001,3,4,2,94.83,-3.43,CC12CCC(=O)C=C1CCC1C3CCC(O)(C(=O)CO)C3(C)CC(O)C12F
132,ethiofencarb,-2.855,1,225.313,1,1,4,38.33,-2.09,CCSCc1ccccc1OC(=O)NC
133,Malonic acid diethylester,-1.413,1,160.16899999999995,0,0,4,52.60000000000001,-0.82,CCOC(=O)CC(=O)OCC
134,d-Limonene,-3.429,1,136.238,0,1,1,0.0,-4.26,C=C(C)C1CC=C(C)CC1
135,Indan,-3.057,2,118.17899999999996,0,2,0,0.0,-3.04,c1ccc2c(c1)CCC2
136,p-t-Butylphenol,-3.192,1,150.22099999999998,1,1,0,20.23,-2.41,CC(C)(C)c1ccc(O)cc1
137,Cyclopropyl-5-spirobarbituric acid,-0.08800000000000001,1,154.125,2,2,0,75.27,-1.886,O=C1NC(=O)C2(CC2)C(=O)N1
138,m-Chloroiodobenzene,-4.384,1,238.455,0,1,0,0.0,-3.55,Clc1cccc(I)c1
139,1-Bromonapthalene,-4.434,1,207.07,0,2,0,0.0,-4.35,Brc1cccc2ccccc12
140,trans-2-Pentene ,-2.076,1,70.135,0,0,1,0.0,-2.54,C/C=C/CC
141,"2,6-Dimethylpyridine",-2.0980000000000003,1,107.156,0,1,0,12.89,0.45,Cc1cccc(C)n1
142,Trichloroethylene,-2.312,1,131.389,0,0,0,0.0,-1.96,ClC=C(Cl)Cl
143,1-Napthylamine,-2.721,1,143.189,1,2,0,26.02,-1.92,Nc1cccc2ccccc12
144,m-Xylene ,-3.035,1,106.168,0,1,0,0.0,-2.82,Cc1cccc(C)c1
145,2-hydroxypteridine,-1.404,1,148.125,1,2,0,71.79,-1.947,Oc1ncc2nccnc2n1
146,Methanol,0.441,1,32.042,1,0,0,20.23,1.57,CO
147,Amobarbital,-2.312,1,226.276,2,1,4,75.27000000000002,-2.468,CCC1(CCC(C)C)C(=O)NC(=O)NC1=O
148,2-Butanone,-0.491,1,72.107,0,0,1,17.07,0.52,CCC(C)=O
149,5-fluorouracil,-0.792,1,130.078,2,1,0,65.72,-1.077,O=c1[nH]cc(F)c(=O)[nH]1
150,tubercidin,-0.892,1,266.257,4,3,2,126.65,-1.95,Nc1ncnc2c1ccn2C1OC(CO)C(O)C1O
151,"1,3-Benzenediol",-1.59,1,110.11199999999998,2,1,0,40.46,0.81,Oc1cccc(O)c1
152,1-Hexanol,-1.3969999999999998,1,102.177,1,0,4,20.23,-1.24,CCCCCCO
153,1-Chloropentane,-2.294,1,106.596,0,0,3,0.0,-2.73,CCCCCCl
154,"1,3-Butadiene",-1.376,1,54.09199999999999,0,0,1,0.0,-1.87,C=CC=C
155,Propyl acetate,-1.125,1,102.13299999999998,0,0,2,26.3,-0.72,CCCOC(C)=O
156,"5,6,7,8-tetrahydro-2-naphthol",-3.0860000000000003,1,148.205,1,2,0,20.23,-1.99,Oc1ccc2c(c1)CCCC2
157,chloroacetamide,-0.106,1,93.51299999999999,1,0,1,43.09,-0.02,NC(=O)CCl
158,Iodofenphos,-6.148,1,413.0,0,1,4,27.69,-6.62,COP(=S)(OC)Oc1cc(Cl)c(I)cc1Cl
159,4-Chlorotoluene,-3.297,1,126.586,0,1,0,0.0,-3.08,Cc1ccc(Cl)cc1
160,Metribuzin,-2.324,1,214.294,1,1,1,73.8,-2.253,CSc1nnc(C(C)(C)C)c(=O)n1N
161,Tricresyl phosphate,-6.39,1,368.36900000000014,0,3,6,44.76000000000001,-6.01,Cc1ccc(OP(=O)(Oc2cccc(C)c2)Oc2ccccc2C)cc1
162,Caproaldehyde,-1.457,1,100.161,0,0,4,17.07,-1.3,CCCCCC=O
163,Butamben,-3.039,1,193.246,1,1,4,52.32,-3.082,CCCCOC(=O)c1ccc(N)cc1
164,RTI 3,-3.049,1,255.27700000000002,1,3,0,68.45,-3.043,Cc1ccc2c(c1)Oc1ncc(N)cc1C(=O)N2C
165,Nerol,-2.603,1,154.253,1,0,4,20.23,-2.46,CC(C)=CCC/C(C)=C\CO
166,"2,4'-PCB",-5.142,1,223.102,0,2,1,0.0,-5.28,Clc1ccc(-c2ccccc2Cl)cc1
167,3-Octanoyloxymethylphenytoin,-4.84,1,408.49800000000005,1,3,10,75.71,-6.523,CCCCCCCC(=O)OCN1C(=O)NC(c2ccccc2)(c2ccccc2)C1=O
168,Nitroethane,-0.462,1,75.067,0,0,1,43.14,-0.22,CC[N+](=O)[O-]
169,Ethalfluralin,-5.063,1,333.26599999999996,0,1,6,89.51999999999998,-6.124,C=C(C)CN(CC)c1c([N+](=O)[O-])cc(C(F)(F)F)cc1[N+](=O)[O-]
170,"1,2,3,4-Tetrachlorobenzene",-4.546,1,215.894,0,1,0,0.0,-4.57,Clc1ccc(Cl)c(Cl)c1Cl
171,Meprobamate,-1.376,1,218.253,2,0,6,104.64,-1.807,CCCC(C)(COC(N)=O)COC(N)=O
172,pregnenolone,-4.342,1,316.48500000000007,1,4,1,37.3,-4.65,CC(=O)C1CCC2C3CC=C4CC(O)CCC4(C)C3CCC12C
173,Iodomethane,-1.646,1,141.939,0,0,0,0.0,-1.0,CI
174,cycloheximide,-1.5319999999999998,1,281.35200000000003,2,2,3,83.47,-1.13,CC1CC(C)C(=O)C(C(O)CC2CC(=O)NC(=O)C2)C1
175,3-Heptanoyloxymethylphenytoin,-4.496,1,394.471,1,3,9,75.71,-6.301,CCCCCCC(=O)OCN1C(=O)NC(c2ccccc2)(c2ccccc2)C1=O
176,isophorone,-2.015,1,138.20999999999998,0,1,0,17.07,-1.06,CC1=CC(=O)CC(C)(C)C1
177,Butabarbital,-1.958,1,212.249,2,1,3,75.27000000000002,-2.39,CCC(C)C1(CC)C(=O)NC(=O)NC1=O
178,5-Nonanone,-2.329,1,142.24200000000002,0,0,6,17.07,-2.58,CCCCC(=O)CCCC
179,Glutethimide,-2.591,1,217.268,1,2,2,46.17,-2.337,CCC1(c2ccccc2)CCC(=O)NC1=O
180,3-Methylpentane,-2.6,1,86.178,0,0,2,0.0,-3.68,CCC(C)CC
181,Etofenprox,-6.896,1,376.496,0,3,9,27.69,-8.6,CCOc1ccc(C(C)(C)COCc2cccc(Oc3ccccc3)c2)cc1
182,Methaqualone,-3.881,1,250.301,0,3,1,34.89,-2.925,Cc1ccccc1-n1c(C)nc2ccccc2c1=O
183,Chloroacetonitrile,-0.448,1,75.498,0,0,0,23.79,-0.092,N#CCCl
184,Trichloronate,-5.225,1,333.6040000000001,0,1,5,18.46,-5.752000000000002,CCOP(=S)(CC)Oc1cc(Cl)c(Cl)cc1Cl
185,Ethisterone,-3.858,1,312.4530000000001,1,4,0,37.3,-5.66,C#CC1(O)CCC2C3CCC4=CC(=O)CCC4(C)C3CCC21C
186,Pyridazine,-0.619,2,80.08999999999997,0,1,0,25.78,1.1,c1ccnnc1
187,"1,2,3,5-Tetrachlorobenzene",-4.621,1,215.894,0,1,0,0.0,-4.63,Clc1cc(Cl)c(Cl)c(Cl)c1
188,Diosgenin,-5.681,1,414.63000000000017,1,6,0,38.69,-7.32,CC1COC2CC3(C)C(CC4C5C=C6CC(O)CCC6(C)CC5CCC43C)OC2C1
189,o-Aminophenol,-1.465,1,109.128,2,1,0,46.25,-0.72,Nc1ccccc1O
190,Ethyl nonanoate,-3.3160000000000003,1,186.295,0,0,8,26.3,-3.8,CCCCCCCCC(=O)OCC
191,metalaxyl,-2.87,1,279.336,0,1,5,55.84,-1.601,COCC(=O)N(c1c(C)cccc1C)C(C)C(=O)OC
192,Propoxur,-2.4090000000000003,1,209.245,1,1,3,47.56,-2.05,CNC(=O)Oc1ccccc1OC(C)C
193,2-Chlorobutane,-1.94,1,92.569,0,0,1,0.0,-1.96,CCC(C)Cl
194,2-Napthol,-3.08,1,144.17299999999997,1,2,0,20.23,-2.28,Oc1ccc2ccccc2c1
195,Oxadiazon,-5.265,1,345.22600000000017,0,2,3,57.26,-5.6960000000000015,CC(C)Oc1cc(-n2nc(C(C)(C)C)oc2=O)c(Cl)cc1Cl
196,1-Hexyne ,-1.801,1,82.14599999999999,0,0,2,0.0,-2.36,C#CCCCC
197,1-Nonyne ,-2.864,1,124.227,0,0,5,0.0,-4.24,C#CCCCCCCC
198,2-Chlorotoluene,-3.297,1,126.586,0,1,0,0.0,-3.52,Cc1ccccc1Cl
199,Diisopropyl ether ,-1.281,1,102.177,0,0,2,9.23,-1.1,CC(C)OC(C)C
200,Dapsone,-2.464,1,248.30700000000002,2,2,2,86.18,-3.094,Nc1ccc(S(=O)(=O)c2ccc(N)cc2)cc1
201,Methyl hydrazine,0.5429999999999999,1,46.073,2,0,0,38.05,1.34,CNN
202,Propyne,-0.672,1,40.06500000000001,0,0,0,0.0,-0.41,C#CC
203,Phoxim,-4.557,1,298.30400000000003,0,1,7,63.84,-4.862,CCOP(=S)(OCC)ON=C(C#N)c1ccccc1
204,Propetamphos,-2.826,1,281.314,1,0,7,56.790000000000006,-3.408,CCNP(=S)(OC)OC(C)=CC(=O)OC(C)C
205,Acrolein,-0.184,1,56.06399999999999,0,0,1,17.07,0.57,C=CC=O
206,Hypoxanthine,-0.6559999999999999,1,136.114,2,2,0,74.43,-2.296,O=c1[nH]cnc2nc[nH]c12
207,6-hydroxyquinoline,-2.725,1,145.161,1,2,0,33.120000000000005,-2.16,Oc1ccc2ncccc2c1
208,Fluorobenzene,-2.514,1,96.10399999999998,0,1,0,0.0,-1.8,Fc1ccccc1
209,1-Chloropropane,-1.585,1,78.542,0,0,1,0.0,-1.47,CCCCl
210,Ethyl acetate,-0.77,1,88.10600000000001,0,0,1,26.3,-0.04,CCOC(C)=O
211,"2,2-Dimethylpentane",-2.938,1,100.20499999999998,0,0,1,0.0,-4.36,CCCC(C)(C)C
212,Pentamethylbenzene,-3.993,1,148.249,0,1,0,0.0,-4.0,Cc1cc(C)c(C)c(C)c1C
213,eucalyptol,-2.579,1,154.253,0,3,0,9.23,-1.64,CC12CCC(CC1)C(C)(C)O2
214,dibutyl sebacate,-4.726,1,314.46600000000007,0,0,15,52.60000000000001,-3.896,CCCCOC(=O)CCCCCCCCC(=O)OCCCC
215,"4,4'-PCB",-5.299,1,223.102,0,2,1,0.0,-6.56,Clc1ccc(-c2ccc(Cl)cc2)cc1
216,"2,3-Dimethylpyridine",-2.067,1,107.156,0,1,0,12.89,0.38,Cc1cccnc1C
217,Carvone,-2.042,1,150.22099999999998,0,1,1,17.07,-2.06,C=C(C)C1CC=C(C)C(=O)C1
218,Carbophenthion,-5.8279999999999985,1,342.875,0,1,8,18.46,-5.7360000000000015,CCOP(=S)(OCC)SCSc1ccc(Cl)cc1
219,"Etoposide (148-167,25mg/ml)",-3.292,1,588.5620000000001,3,7,5,160.83,-3.571,COc1cc(C2c3cc4c(cc3C(OC3OC5COC(C)OC5C(O)C3O)C3COC(=O)C23)OCO4)cc(OC)c1O
